,temp,pm10,rh,windDirDeg,windPeak,windsp,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend,pm10Lag
2009-01-04,-4.974917,55.760006,86.0077,203.82874,1.8476248,0.35304585,4,0,0,0,1,50.879986
2009-01-05,-6.829834,75.0,82.48083,192.2729,1.8756046,0.40895936,5,0,0,1,0,55.760006
2009-01-06,-4.105206,93.75,80.64147,172.57936,1.8603334,0.38590744,6,1,0,0,0,75.0
2009-01-07,-4.5345826,78.310036,86.24688,194.43959,1.7043961,0.3053333,7,0,1,0,0,93.75
2009-01-08,-4.7720833,69.49,84.55436,172.23354,2.0172293,0.48962453,8,0,0,0,0,78.310036
2009-01-09,-5.5505004,90.53001,78.74334,255.79628,1.956625,0.40737978,9,0,0,0,0,69.49
2009-01-10,-8.831584,102.87006,79.40417,205.74377,1.8590206,0.37762678,10,0,0,0,1,90.53001
2009-01-11,-8.872626,108.399956,78.907295,182.9646,1.799146,0.35088435,11,0,0,0,1,102.87006
2009-01-12,-10.451937,109.27997,92.13105,214.46521,1.9586042,0.51639587,12,0,0,0,0,108.399956
2009-01-13,-9.698312,106.99004,92.662506,228.41563,1.9575834,0.4621021,13,0,0,0,0,109.27997
2009-01-14,-8.738125,91.060036,91.45229,230.36665,1.9332296,0.4736919,14,0,0,0,0,106.99004
2009-01-15,-5.007584,116.54998,90.80499,187.42706,1.7645835,0.3693367,15,0,0,0,0,91.060036
2009-01-16,-0.7867674,121.56997,91.65458,153.15565,1.7496251,0.3688917,16,0,0,0,0,116.54998
2009-01-17,1.6018853,57.069996,84.80374,174.17082,1.9627923,0.4841708,17,0,0,0,1,121.56997
2009-01-18,-0.016982123,56.20998,84.88792,150.23146,1.935104,0.50637865,18,0,0,0,1,57.069996
2009-01-19,-2.3964336,66.310036,92.324165,205.22874,2.0055006,0.3902646,19,0,0,0,0,56.20998
2009-01-20,2.1597416,42.199978,85.68665,217.77309,1.9516877,0.3850654,20,0,0,0,0,66.310036
2009-01-21,4.2041516,44.44998,87.46209,310.00015,2.0298545,0.49274793,21,0,0,0,0,42.199978
2009-01-22,3.7150414,47.56003,96.89521,251.45876,1.9286671,0.46143746,22,0,0,0,0,44.44998
2009-01-23,2.402458,18.898006,95.88208,163.63554,2.0809376,0.46058062,23,0,0,0,0,47.56003
2009-01-24,1.6294461,32.670006,93.78897,149.15894,2.057521,0.48460206,24,0,0,0,1,18.898006
2009-01-25,1.1854134,41.180023,97.514565,181.61104,1.71025,0.31839332,25,0,0,0,1,32.670006
2009-01-26,2.3285086,42.449978,85.88854,195.92708,2.1853542,0.49346852,26,0,0,0,0,41.180023
2009-01-27,2.2837667,52.739994,83.224785,170.52519,1.779623,0.38394642,27,0,0,0,0,42.449978
2009-01-28,1.6201042,30.887985,94.69312,243.69368,2.6152709,0.7658313,28,0,0,0,0,52.739994
2009-01-29,2.373708,10.256995,74.51645,325.03128,6.863604,2.58175,29,0,0,0,0,30.887985
2009-01-30,2.7317502,15.443993,67.32751,324.94162,5.2400002,1.8526148,30,0,0,0,0,10.256995
2009-01-31,0.2733399,32.819984,84.56771,184.425,2.3858395,0.75790423,31,0,0,0,1,15.443993
2009-02-01,-0.3028661,24.747,74.11813,202.32979,2.3087084,0.65938133,32,0,0,0,1,32.819984
2009-02-02,-1.1405573,31.770012,86.05896,163.01979,2.0900211,0.5970698,33,0,0,0,0,24.747
2009-02-03,-0.6198002,44.38,96.10999,215.87267,1.5374584,0.23679541,34,0,0,0,0,31.770012
2009-02-04,0.7011721,32.849987,96.62646,219.3435,1.6630421,0.29750645,35,0,0,0,0,44.38
2009-02-05,2.1201003,52.090008,95.859795,156.0104,1.7757293,0.34981728,36,0,0,0,0,32.849987
2009-02-06,2.790222,38.14001,92.60563,205.72076,1.9355001,0.34546372,37,0,0,0,0,52.090008
2009-02-07,5.762621,32.19999,82.80271,213.38696,2.3506877,0.57804376,38,0,0,0,1,38.14001
2009-02-08,6.2903748,30.5,88.36605,206.16559,2.403396,0.6094959,39,0,0,0,1,32.19999
2009-02-09,5.4326873,12.546998,80.935005,265.5034,3.5115836,0.9950742,40,0,0,0,0,30.5
2009-02-10,2.78221,30.782995,51.08583,243.69307,2.9774578,0.7170558,41,0,0,0,0,12.546998
2009-02-11,1.9084272,46.0,77.216255,214.63617,2.1580625,0.45101878,42,0,0,0,0,30.782995
2009-02-12,3.8633335,17.994005,57.873135,266.96103,4.083709,1.0946916,43,0,0,0,0,46.0
2009-02-13,1.3452573,18.72801,47.948742,271.33145,3.9197302,1.1739041,44,0,0,0,0,17.994005
2009-02-14,-0.060121,14.719993,43.823345,278.6121,4.1439166,1.3604165,45,0,0,0,1,18.72801
2009-02-15,0.8814106,11.351006,45.531876,207.62415,4.039188,1.1892022,46,0,0,0,1,14.719993
2009-02-16,-0.16358058,8.634002,38.69521,301.18332,3.7221668,1.1548272,47,0,0,0,0,11.351006
2009-02-17,-2.2441936,53.81003,59.384182,203.13481,1.8427292,0.37275007,48,0,0,0,0,8.634002
2009-02-18,-0.89558697,48.09,68.01563,191.77666,3.4414375,1.0326353,49,0,0,0,0,53.81003
2009-02-19,-1.9362979,12.100001,43.395203,319.41736,6.217625,2.199085,50,0,0,0,0,48.09
2009-02-20,-2.2853248,24.894,49.28375,268.31686,3.2352078,0.9633625,51,0,0,0,0,12.100001
2009-02-21,-1.4592605,49.0,56.098118,182.19896,2.1639168,0.49088684,52,0,0,0,1,24.894
2009-02-22,0.4320831,39.829987,73.84231,181.90318,2.3429794,0.69694895,53,0,0,0,1,49.0
2009-02-23,-0.84714293,46.699978,89.95523,176.28123,2.1499584,0.6583875,54,0,0,0,0,39.829987
2009-02-24,1.05091,63.35002,83.81022,205.42982,2.2147086,0.5752521,55,0,0,0,0,46.699978
2009-02-25,0.11254532,44.0,93.234375,188.3369,1.9784169,0.48710158,56,0,0,0,0,63.35002
2009-02-26,1.4042772,40.12,78.5127,167.91063,2.248875,0.6500392,57,0,0,0,0,44.0
2009-02-27,1.8406664,64.60002,72.8152,205.85585,1.9153546,0.35537648,58,0,0,0,0,40.12
2009-02-28,3.7442558,47.37999,69.979996,222.10075,2.5404377,0.55865943,59,0,0,0,1,64.60002
2009-03-01,6.863396,36.02001,66.6952,158.84589,2.3045003,0.5573126,60,0,0,0,1,47.37999
2009-03-02,6.313967,36.42001,76.37,145.9379,2.442146,0.7161538,61,0,0,0,0,36.02001
2009-03-03,6.2603126,62.239994,85.24417,158.46544,2.0382714,0.5216604,62,0,0,0,0,36.42001
2009-03-04,6.7087502,51.800022,89.95812,156.24123,2.1760004,0.5889688,63,0,0,0,0,62.239994
2009-03-05,7.0140195,30.362015,88.018555,141.75438,2.8030207,0.8661068,64,0,0,0,0,51.800022
2009-03-06,6.471958,18.200994,94.053535,78.28056,3.0601656,1.0935477,65,0,0,0,0,30.362015
2009-03-07,5.483021,12.005004,90.43417,227.62817,2.4535835,0.70069385,66,0,0,0,1,18.200994
2009-03-08,7.4395833,4.552998,48.210003,317.03754,7.2378736,2.3548496,67,0,0,0,1,12.005004
2009-03-09,7.800333,17.023993,39.176456,238.16982,4.467355,1.329927,68,0,0,0,0,4.552998
2009-03-10,4.8865833,27.215988,56.145405,241.55333,3.5229797,1.0861615,69,0,0,0,0,17.023993
2009-03-11,5.0165257,21.44,53.376038,209.27771,3.0165827,0.7683312,70,0,0,0,0,27.215988
2009-03-12,6.0275416,19.943987,55.259598,256.33966,4.236292,1.4214085,71,0,0,0,0,21.44
2009-03-13,5.738152,16.70899,50.65938,249.16919,3.4308956,0.9411872,72,0,0,0,0,19.943987
2009-03-14,7.0213113,20.075993,54.47228,230.97868,4.3193545,1.3440247,73,0,0,0,1,16.70899
2009-03-15,7.159439,21.736008,55.97584,158.5623,2.5355213,0.64986336,74,0,0,0,1,20.075993
2009-03-16,8.028398,18.762007,62.0275,236.04353,3.07125,0.8626062,75,0,0,0,0,21.736008
2009-03-17,7.3236012,21.073988,58.74708,241.51436,3.0136669,0.8267937,76,0,0,0,0,18.762007
2009-03-18,5.8586907,33.400013,67.7073,175.96208,2.306125,0.51664835,77,0,0,0,0,21.073988
2009-03-19,8.025958,13.510993,34.37841,305.8613,7.286876,2.5728958,78,0,0,0,0,33.400013
2009-03-20,1.7860483,17.776,76.46584,157.80783,2.6718588,0.8248384,79,0,0,0,0,13.510993
2009-03-21,0.63781005,19.094988,66.48231,202.67346,3.0807083,0.89902157,80,0,0,0,1,17.776
2009-03-22,2.891699,15.383992,45.66396,191.41179,4.1686463,1.385877,81,0,0,0,1,19.094988
2009-03-23,6.3426595,18.193987,37.63521,297.45627,4.5350833,1.4856147,82,0,0,0,0,15.383992
2009-03-24,9.602752,24.375,40.08146,231.91313,3.6788747,0.9738334,83,0,0,0,0,18.193987
2009-03-25,5.577769,14.447999,44.5975,277.6476,4.8311877,1.4462146,84,0,0,0,0,24.375
2009-03-26,3.2267168,17.04101,58.155834,144.87746,3.459521,1.0916919,85,0,0,0,0,14.447999
2009-03-27,4.998714,26.26299,58.813328,190.7477,2.8815415,0.8078626,86,0,0,0,0,17.04101
2009-03-28,8.231271,28.512985,59.134594,173.60811,2.5928953,0.6890392,87,0,0,0,1,26.26299
2009-03-29,9.6797285,23.997995,64.633125,220.0647,4.263646,1.3948997,88,0,0,0,1,28.512985
2009-03-30,8.45946,18.015995,86.07229,154.86676,2.5200212,0.7792646,89,0,0,0,0,23.997995
2009-03-31,7.33452,9.291007,81.2752,247.61372,3.2466667,1.0298458,90,0,0,0,0,18.015995
2009-04-01,7.9826665,25.730997,84.54022,240.44165,1.730771,0.30427185,91,0,0,0,0,9.291007
2009-04-02,10.162831,33.0,84.07666,154.11874,2.0906668,0.49799812,92,0,0,0,0,25.730997
2009-04-03,12.515812,34.959988,68.127716,165.25337,1.9970001,0.45950064,93,0,0,0,0,33.0
2009-04-04,12.827584,41.829983,65.69709,178.3131,2.0735064,0.4755573,94,0,0,0,1,34.959988
2009-04-05,14.556644,36.209988,66.4352,161.12523,2.3988752,0.50491303,95,0,0,0,1,41.829983
2009-04-06,14.694661,31.30001,60.585403,194.64189,2.494896,0.63216525,96,0,0,0,0,36.209988
2009-04-07,14.331875,41.150017,56.766037,164.72215,2.2136877,0.48727086,97,0,0,0,0,31.30001
2009-04-08,14.791438,44.56998,54.46771,184.81915,2.6553333,0.6295266,98,0,0,0,0,41.150017
2009-04-09,15.689461,38.81998,50.244793,144.78369,2.430125,0.6270407,99,0,0,0,0,44.56998
2009-04-10,15.677105,32.72999,52.119995,200.92572,2.4909923,0.61572784,100,0,0,0,0,38.81998
2009-04-11,15.412959,31.385008,50.084583,193.41795,2.607548,0.67634505,101,0,0,0,1,32.72999
2009-04-12,14.982104,42.790012,46.573124,193.16829,2.7116668,0.6928129,102,0,0,1,1,31.385008
2009-04-13,15.06125,56.70998,46.076874,180.7973,2.8511336,0.8121425,103,1,0,0,0,42.790012
2009-04-14,14.220916,34.540012,53.510822,149.62341,3.1227455,0.94107115,104,0,1,0,0,56.70998
2009-04-15,13.589897,44.270008,62.242085,193.58498,2.3836462,0.6137548,105,0,0,0,0,34.540012
2009-04-16,14.451041,40.38,57.27313,152.87825,2.6586459,0.7183382,106,0,0,0,0,44.270008
2009-04-17,15.098958,45.379993,53.2375,179.86407,3.432501,0.977958,107,0,0,0,0,40.38
2009-04-18,12.466332,24.616995,61.519787,237.5262,3.2677498,0.8763315,108,0,0,0,1,45.379993
2009-04-19,12.585167,17.570005,62.23041,148.19315,2.898125,0.77891296,109,0,0,0,1,24.616995
2009-04-20,12.526937,19.893995,70.79354,206.4945,2.455223,0.6477465,110,0,0,0,0,17.570005
2009-04-21,14.306455,23.094986,77.66021,194.71709,2.3877919,0.5485794,111,0,0,0,0,19.893995
2009-04-22,14.82327,34.310024,62.830215,140.34108,3.0110836,0.94122434,112,0,0,0,0,23.094986
2009-04-23,14.638606,36.050014,47.653534,156.42067,2.812188,0.7527697,113,0,0,0,0,34.310024
2009-04-24,9.8915415,21.258987,81.05979,235.94379,3.000062,0.833775,114,0,0,0,0,36.050014
2009-04-25,11.621898,24.859007,64.44313,236.42833,2.3959584,0.6031169,115,0,0,0,1,21.258987
2009-04-26,12.775417,31.900015,66.696045,175.29169,2.7389581,0.7542229,116,0,0,0,1,24.859007
2009-04-27,13.853021,32.349987,62.137283,139.6507,3.931756,1.35012,117,0,0,0,0,31.900015
2009-04-28,14.971042,29.66899,61.31395,111.2077,3.327021,1.0511688,118,0,0,0,0,32.349987
2009-04-29,13.431872,27.086014,67.44959,92.956245,2.6778336,0.84589964,119,0,0,0,0,29.66899
2009-04-30,11.240998,15.137004,90.61478,117.90687,3.264208,1.0445074,120,0,0,1,0,27.086014
2009-05-01,12.356583,12.894001,68.601875,312.77753,6.077938,2.1826165,121,1,0,0,0,15.137004
2009-05-02,16.977503,25.895998,48.034176,304.9669,6.0687923,2.096125,122,0,1,0,1,12.894001
2009-05-03,14.246436,27.564001,50.094376,207.20557,4.069999,1.056525,123,0,0,0,1,25.895998
2009-05-04,13.899918,27.317007,65.38436,210.21284,2.4220212,0.52660733,124,0,0,0,0,27.564001
2009-05-05,11.754643,24.980997,74.312096,173.04561,2.8473542,0.6536633,125,0,0,0,0,27.317007
2009-05-06,12.98954,16.84499,45.41626,232.04149,2.8741043,0.63969773,126,0,0,0,0,24.980997
2009-05-07,14.76127,18.379011,52.388332,212.31,2.6387084,0.5753004,127,0,0,0,0,16.84499
2009-05-08,17.489796,17.97199,53.41208,177.49089,2.8531873,0.7982587,128,0,0,0,0,18.379011
2009-05-09,17.925625,25.22301,61.681244,132.90697,2.6203916,0.6743576,129,0,0,0,1,17.97199
2009-05-10,19.44708,21.304995,56.267925,206.70262,3.5962498,1.0713042,130,0,0,0,1,25.22301
2009-05-11,19.572292,17.455996,60.73354,133.25406,2.6888542,0.8277912,131,0,0,0,0,21.304995
2009-05-12,20.902288,28.637985,56.732086,196.70824,2.8792918,0.6506107,132,0,0,0,0,17.455996
2009-05-13,15.726459,14.758994,79.58895,142.05809,3.2249157,0.9047794,133,0,0,0,0,28.637985
2009-05-14,11.856458,19.549007,87.64834,135.3774,1.8309585,0.3897785,134,0,0,0,0,14.758994
2009-05-15,12.51875,19.315992,92.42603,106.57187,2.089125,0.5936312,135,0,0,0,0,19.549007
2009-05-16,14.245002,26.274002,87.8729,171.83125,2.070875,0.52451265,136,0,0,0,1,19.315992
2009-05-17,16.111874,19.549992,83.14562,141.19797,2.7787087,0.7472098,137,0,0,0,1,26.274002
2009-05-18,18.480831,16.862,74.96438,150.02356,2.7708123,0.7605562,138,0,0,0,0,19.549992
2009-05-19,20.218752,34.260006,74.01667,187.96037,3.233979,0.95242304,139,0,0,0,0,16.862
2009-05-20,18.60104,22.018995,81.15479,164.94998,2.840521,0.8179633,140,0,0,1,0,34.260006
2009-05-21,19.27979,19.27199,75.246666,178.0473,2.4916248,0.660669,141,1,0,0,0,22.018995
2009-05-22,20.748959,21.507998,65.719154,172.55669,2.74125,0.84832495,142,0,1,0,0,19.27199
2009-05-23,19.557497,20.780014,75.60709,170.51268,3.0438337,0.81969935,143,0,0,0,1,21.507998
2009-05-24,18.309582,17.135006,78.22188,142.95708,2.69866,0.8378408,144,0,0,0,1,20.780014
2009-05-25,19.760836,22.468004,73.62417,146.22972,2.2697294,0.5482229,145,0,0,0,0,17.135006
2009-05-26,22.43688,31.0,73.04606,161.79022,2.6761043,0.78354806,146,0,0,0,0,22.468004
2009-05-27,21.63854,29.770998,75.48394,154.30492,3.1112707,0.72745186,147,0,0,0,0,31.0
2009-05-28,15.172707,11.920003,81.524376,246.83336,2.7315,0.614804,148,0,0,0,0,29.770998
2009-05-29,14.878937,14.428998,60.14687,196.09418,2.9371252,0.8306642,149,0,0,0,0,11.920003
2009-05-30,12.99498,8.6069975,47.343334,226.56989,5.0455832,1.3827667,150,0,0,0,1,14.428998
2009-05-31,8.144272,5.742001,85.10376,189.904,2.6430001,0.81426054,151,0,0,1,1,8.6069975
2009-06-01,13.098687,7.6359963,65.255005,179.28894,2.6208336,0.6424596,152,1,0,0,0,5.742001
2009-06-02,14.549896,10.782996,75.753334,156.55867,2.7083957,0.8405053,153,0,1,0,0,7.6359963
2009-06-03,15.062645,19.492994,71.58311,172.01018,2.4138644,0.5880323,154,0,0,0,0,10.782996
2009-06-04,17.648956,18.591002,53.660812,225.22313,3.689396,1.004021,155,0,0,0,0,19.492994
2009-06-05,14.359998,21.202011,60.037495,153.29356,2.7247083,0.7746501,156,0,0,0,0,18.591002
2009-06-06,14.297708,23.466995,80.229164,163.44395,2.559396,0.80219656,157,0,0,0,1,21.202011
2009-06-07,17.500835,21.216991,79.89667,209.18208,2.6267083,0.68029785,158,0,0,0,1,23.466995
2009-06-08,16.440832,8.001004,80.23106,130.50066,2.7480838,0.71064574,159,0,0,0,0,21.216991
2009-06-09,17.527105,14.403996,72.940636,160.2343,2.5550835,0.67981696,160,0,0,0,0,8.001004
2009-06-10,20.075207,18.184008,62.02125,147.21565,3.1575425,0.85457295,161,0,0,1,0,14.403996
2009-06-11,18.936459,21.133987,66.773125,140.61778,2.922908,0.82481986,162,1,0,0,0,18.184008
2009-06-12,16.667913,13.671998,79.651665,172.006,2.5108335,0.58495367,163,0,1,0,0,21.133987
2009-06-13,17.516457,11.394004,57.337082,207.76299,4.0145,1.1026186,164,0,0,0,1,13.671998
2009-06-14,17.808334,15.228007,57.494583,158.77332,2.973396,0.8592348,165,0,0,0,1,11.394004
2009-06-15,21.098335,18.869005,55.07687,129.8818,2.7865627,0.81287843,166,0,0,0,0,15.228007
2009-06-16,23.077082,29.81999,64.601875,125.57267,2.637375,0.82592386,167,0,0,0,0,18.869005
2009-06-17,19.798962,18.099,74.65625,186.58034,2.7127917,0.6268853,168,0,0,0,0,29.81999
2009-06-18,18.58375,15.484005,72.255005,144.21916,2.6908128,0.8229902,169,0,0,0,0,18.099
2009-06-19,21.227709,24.987999,65.62064,128.38814,2.6725748,0.8070591,170,0,0,0,0,15.484005
2009-06-20,23.45875,26.443983,61.888737,150.32396,3.4982297,1.1245357,171,0,0,0,1,24.987999
2009-06-21,13.930833,7.217998,84.9302,256.1858,2.7901042,0.71833724,172,0,0,0,1,26.443983
2009-06-22,15.910502,13.356996,55.787495,198.00627,3.934681,1.1615559,173,0,0,0,0,7.217998
2009-06-23,13.703957,11.212002,67.15708,294.9284,3.9480007,1.1904876,174,0,0,0,0,13.356996
2009-06-24,13.972706,5.681,78.73521,303.4558,4.3398128,1.3419625,175,0,0,0,0,11.212002
2009-06-25,14.426248,6.5150027,95.48167,242.44312,2.2657921,0.60151464,176,0,0,0,0,5.681
2009-06-26,18.611248,10.697999,77.04041,157.36647,2.4913125,0.63528246,177,0,0,0,0,6.5150027
2009-06-27,17.821457,15.669005,81.66208,169.75209,2.505458,0.5772551,178,0,0,0,1,10.697999
2009-06-28,17.859793,16.078001,89.12063,181.91362,2.0891106,0.41135538,179,0,0,0,1,15.669005
2009-06-29,17.6075,9.661995,95.91604,155.82527,1.7792501,0.3866583,180,0,0,0,0,16.078001
2009-06-30,19.515413,12.379003,86.29147,201.2627,2.1851041,0.5193867,181,0,0,0,0,9.661995
2009-07-01,20.41562,22.336992,78.24688,222.16833,2.5899603,0.6983785,182,0,0,0,0,12.379003
2009-07-02,20.40229,18.757006,79.64938,245.197,3.1985,0.777137,183,0,0,0,0,22.336992
2009-07-03,21.632294,25.362999,77.62812,145.5246,2.3028295,0.5724949,184,0,0,0,0,18.757006
2009-07-04,21.92375,37.150017,72.42104,193.85481,2.666792,0.71512276,185,0,0,0,1,25.362999
2009-07-05,22.309584,25.301012,67.8973,230.01416,2.750333,0.6842833,186,0,0,0,1,37.150017
2009-07-06,21.978958,13.591999,71.93917,200.83752,2.8485835,0.8265958,187,0,0,0,0,25.301012
2009-07-07,19.709791,15.263997,80.888115,191.65157,2.5916314,0.63374406,188,0,0,0,0,13.591999
2009-07-08,19.061459,16.244997,80.43917,203.49626,2.5769377,0.7522814,189,0,0,0,0,15.263997
2009-07-09,16.875834,9.744997,75.88813,212.7633,2.7653124,0.78949594,190,0,0,0,0,16.244997
2009-07-10,17.65708,12.140008,72.77645,174.9552,2.7497082,0.77684736,191,0,0,0,0,9.744997
2009-07-11,15.534374,10.837003,79.4423,213.53029,2.3048131,0.5515232,192,0,0,0,1,12.140008
2009-07-12,16.987856,13.678998,62.253754,187.79918,2.1154997,0.4393873,193,0,0,0,1,10.837003
2009-07-13,19.374166,12.446004,61.20145,147.09145,2.3803332,0.5564795,194,0,0,0,0,13.678998
2009-07-14,22.590628,20.443987,64.46271,147.79959,2.4494586,0.68825,195,0,0,0,0,12.446004
2009-07-15,24.686462,27.788,69.01209,150.70877,2.5140626,0.75899786,196,0,0,0,0,20.443987
2009-07-16,25.088333,29.744009,72.918755,156.52312,3.4962084,1.0404159,197,0,0,0,0,27.788
2009-07-17,24.365416,22.406996,68.87,154.55211,2.4903336,0.7471103,198,0,0,0,0,29.744009
2009-07-18,25.24375,25.948,64.27085,132.32384,2.8047085,0.8667547,199,0,0,0,1,22.406996
2009-07-19,17.321878,13.1480055,77.148346,202.35811,4.165458,1.2991132,200,0,0,0,1,25.948
2009-07-20,17.950209,8.332,59.48167,170.08543,2.4922502,0.5558647,201,0,0,0,0,13.1480055
2009-07-21,19.649168,14.247991,63.59459,116.11356,2.9111664,0.87964815,202,0,0,0,0,8.332
2009-07-22,22.141043,20.393995,68.7848,125.774864,2.263292,0.5725481,203,0,0,0,0,14.247991
2009-07-23,24.773546,27.792982,66.347496,163.7625,2.5088542,0.74260324,204,0,0,0,0,20.393995
2009-07-24,27.020836,38.900017,51.46332,180.64833,3.6397495,1.1188583,205,0,0,0,0,27.792982
2009-07-25,25.235003,17.35301,53.819168,125.34534,3.7525005,1.2791644,206,0,0,0,1,38.900017
2009-07-26,19.183125,5.5330014,65.94332,210.26465,3.4842708,0.8819687,207,0,0,0,1,17.35301
2009-07-27,18.94292,9.209998,57.66104,150.87013,2.6332295,0.6796343,208,0,0,0,0,5.5330014
2009-07-28,20.686457,15.367003,62.487503,136.44835,2.5613334,0.7322757,209,0,0,0,0,9.209998
2009-07-29,20.483545,19.88599,73.74792,169.19835,2.4737709,0.5912154,210,0,0,0,0,15.367003
2009-07-30,21.406878,14.35999,70.36521,140.80354,2.3637338,0.6229791,211,0,0,0,0,19.88599
2009-07-31,22.230627,20.38599,75.24104,163.31775,3.262973,0.9624581,212,0,0,0,0,14.35999
2009-08-01,21.278961,15.489994,73.93145,178.10834,2.341854,0.65779215,213,0,0,0,1,20.38599
2009-08-02,22.723335,22.546007,68.566666,128.34749,2.2032917,0.5295053,214,0,0,0,1,15.489994
2009-08-03,25.313955,28.155016,61.13667,168.87444,3.3853292,1.0105525,215,0,0,0,0,22.546007
2009-08-04,20.808126,12.969995,71.31062,235.9701,3.3045413,0.93717736,216,0,0,0,0,28.155016
2009-08-05,16.833122,6.093,92.12626,287.0123,2.8463955,0.8450186,217,0,0,0,0,12.969995
2009-08-06,20.598124,12.493001,62.865826,283.70743,4.345312,1.2690521,218,0,0,0,0,6.093
2009-08-07,20.746668,22.336004,71.215416,143.24788,2.2495415,0.55737436,219,0,0,0,0,12.493001
2009-08-08,21.57,19.767014,67.61353,196.86961,2.4232292,0.685299,220,0,0,0,1,22.336004
2009-08-09,21.770208,17.794004,71.053764,175.33171,2.986952,0.84886456,221,0,0,0,1,19.767014
2009-08-10,19.652086,18.151,79.92125,94.46063,2.2228124,0.6963182,222,0,0,0,0,17.794004
2009-08-11,20.153124,23.047989,81.0102,122.13517,2.567792,0.60533124,223,0,0,0,0,18.151
2009-08-12,20.828539,19.369005,71.210625,235.64941,2.6163666,0.63766086,224,0,0,0,0,23.047989
2009-08-13,20.76146,24.560007,68.08665,161.54987,1.9833336,0.37909046,225,0,0,0,0,19.369005
2009-08-14,20.632292,22.625,75.90417,131.08604,2.3289793,0.58346945,226,0,0,1,0,24.560007
2009-08-15,18.949377,12.333005,85.26083,168.22438,2.2687294,0.59922796,227,1,0,0,1,22.625
2009-08-16,20.667082,18.619997,79.58188,120.107086,2.2554438,0.57820195,228,0,1,0,1,12.333005
2009-08-17,23.00083,18.390995,76.21021,175.8304,2.2670672,0.63773483,229,0,0,0,0,18.619997
2009-08-18,23.295618,25.288002,72.75312,164.00615,2.451598,0.5964544,230,0,0,0,0,18.390995
2009-08-19,23.274168,24.560007,69.33104,154.53313,2.693104,0.75582355,231,0,0,0,0,25.288002
2009-08-20,22.171038,26.948988,70.06854,107.496544,2.023354,0.468351,232,0,0,0,0,24.560007
2009-08-21,23.334787,31.045012,71.08624,128.17165,2.1564164,0.58236974,233,0,0,0,0,26.948988
2009-08-22,23.060005,32.44999,77.23168,159.69856,2.9572248,0.7469967,234,0,0,0,1,31.045012
2009-08-23,20.056252,16.593002,87.005,167.51622,2.6852503,0.75087315,235,0,0,0,1,32.44999
2009-08-24,18.869165,14.546002,70.700005,182.52986,2.8630207,0.8736686,236,0,0,0,0,16.593002
2009-08-25,18.512291,18.351994,71.098335,120.78,2.2443545,0.58304614,237,0,0,0,0,14.546002
2009-08-26,20.625834,19.067995,68.871445,134.45311,2.32725,0.6169815,238,0,0,0,0,18.351994
2009-08-27,21.364586,28.243004,74.337715,183.8556,2.0617085,0.48989162,239,0,0,0,0,19.067995
2009-08-28,22.471458,26.193983,73.57521,146.76848,2.6641877,0.73352176,240,0,0,0,0,28.243004
2009-08-29,23.448332,28.487015,73.28436,156.36247,2.3038545,0.5394079,241,0,0,0,1,26.193983
2009-08-30,16.91,7.7539983,86.61896,249.74286,3.2818534,0.7640268,242,0,0,0,1,28.487015
2009-08-31,16.875624,13.744996,65.59438,149.51492,2.303542,0.5383781,243,0,0,0,0,7.7539983
2009-09-01,17.157917,19.25511,69.15708,165.82195,2.2586873,0.5576639,244,0,0,0,0,13.744996
2009-09-02,18.881872,26.429,73.15896,199.25298,2.0435212,0.4432263,245,0,0,0,0,19.25511
2009-09-03,20.310001,30.996988,77.996025,160.6231,1.895125,0.40556967,246,0,0,0,0,26.429
2009-09-04,22.398962,26.732008,71.485214,164.49062,2.9593868,0.83240646,247,0,0,0,0,30.996988
2009-09-05,15.890624,6.6860023,96.218956,165.08147,2.335792,0.5220208,248,0,0,0,1,26.732008
2009-09-06,14.419375,6.794003,73.53667,188.51521,2.7913334,0.63111615,249,0,0,0,1,6.6860023
2009-09-07,14.167771,9.596002,63.21875,245.49684,2.8151248,0.6971228,250,0,0,0,0,6.794003
2009-09-08,14.686149,16.228008,66.83208,160.69983,2.141167,0.5052546,251,0,0,0,0,9.596002
2009-09-09,15.720104,25.072012,70.683754,156.11424,2.1873405,0.47465134,252,0,0,0,0,16.228008
2009-09-10,16.925625,24.818983,68.93481,165.19931,1.9566873,0.40775046,253,0,0,0,0,25.072012
2009-09-11,17.69292,27.677988,73.81752,190.36418,2.52224,0.569789,254,0,0,0,0,24.818983
2009-09-12,17.871042,32.60999,76.61729,276.15976,3.6020215,0.9257643,255,0,0,0,1,27.677988
2009-09-13,17.065418,26.555006,80.60624,162.09679,2.572667,0.5240486,256,0,0,0,1,32.60999
2009-09-14,14.453624,22.835005,87.529175,161.61104,2.0890837,0.42678058,257,0,0,0,0,26.555006
2009-09-15,12.797502,14.549993,95.93687,232.70372,1.4684587,0.22371644,258,0,0,0,0,22.835005
2009-09-16,15.832709,25.546011,90.11417,153.67949,1.6911501,0.29505354,259,0,0,0,0,14.549993
2009-09-17,17.844793,29.614012,85.35749,174.34235,1.7967917,0.30538315,260,0,0,0,0,25.546011
2009-09-18,18.119791,23.086004,90.96726,112.626884,2.3806665,0.64092845,261,0,0,0,0,29.614012
2009-09-19,17.939997,27.140009,87.74729,175.01778,1.66375,0.27044418,262,0,0,0,1,23.086004
